title,title_english,type,source,episodes,status
Inu x Boku SS,Inu X Boku Secret Service,TV,Manga,12,Finished Airing
Seto no Hanayome,My Bride is a Mermaid,TV,Manga,26,Finished Airing
Shugo Chara!! Doki,Shugo Chara!! Doki,TV,Manga,51,Finished Airing
Princess Tutu,Princess Tutu,TV,Original,38,Finished Airing
Bakuman. 3rd Season,Bakuman.,TV,Manga,25,Finished Airing
Yume-iro Pâtissière,,TV,Manga,50,Finished Airing
Ultra Maniac,Ultramaniac - Magical Girl,TV,Manga,26,Finished Airing
Shakugan no Shana II (Second),Shakugan no Shana: Season II,TV,Light novel,24,Finished Airing
Nodame Cantabile: Paris-hen,,TV,Manga,11,Finished Airing
Ouran Koukou Host Club,Ouran High School Host Club,TV,Manga,26,Finished Airing
Junjou Romantica 2,Junjo Romantica 2,TV,Manga,12,Finished Airing
Kaichou wa Maid-sama!,Maid Sama!,TV,Manga,26,Finished Airing
Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love 2,TV,Manga,12,Finished Airing
Tonari no Kaibutsu-kun,My Little Monster,TV,Manga,13,Finished Airing
Bleach,Bleach,TV,Manga,366,Finished Airing
Chobits,Chobits,TV,Manga,26,Finished Airing
Kimi ni Todoke,Kimi ni Todoke: From Me to You,TV,Manga,25,Finished Airing
Naruto: Shippuuden,Naruto: Shippuden,TV,Manga,500,Finished Airing
Ranma ½,Ranma ½,TV,Manga,161,Finished Airing
Toradora!,Toradora!,TV,Light novel,25,Finished Airing
Bakuman. 2nd Season,Bakuman.,TV,Manga,25,Finished Airing
Gakuen Alice,Gakuen Alice,TV,Manga,26,Finished Airing
Skip Beat!,Skip Beat!,TV,Manga,25,Finished Airing
Chihayafuru 2,,TV,Manga,25,Finished Airing
Shounen Onmyouji,Shonen Onmyoji,TV,Light novel,26,Finished Airing
Chihayafuru,Chihayafuru,TV,Manga,25,Finished Airing
Itazura na Kiss,ItaKiss,TV,Manga,25,Finished Airing
Beelzebub,Beelzebub,TV,Manga,60,Finished Airing
Hanasakeru Seishounen,,TV,Manga,39,Finished Airing
SKET Dance,SKET Dance,TV,Manga,77,Finished Airing
B-gata H-kei,Yamada&#039;s First Time: B Gata H Kei,TV,4-koma manga,12,Finished Airing
Crayon Shin-chan,Shin Chan,TV,Manga,0,Currently Airing
Fruits Basket,Fruits Basket,TV,Manga,26,Finished Airing
Saiunkoku Monogatari,The Story of Saiunkoku,TV,Light novel,39,Finished Airing
One Piece,One Piece,TV,Manga,0,Currently Airing
Glass no Kamen (2005),Glass Mask,TV,Manga,51,Finished Airing
Air Gear,Air Gear,TV,Manga,25,Finished Airing
Saiunkoku Monogatari 2nd Season,Tales of Saiunkoku,TV,Light novel,39,Finished Airing
InuYasha,InuYasha,TV,Manga,167,Finished Airing
Chu-Bra!!,Chu-Bra,TV,Manga,12,Finished Airing
Nodame Cantabile Finale,,TV,Manga,11,Finished Airing
Ghost Hunt,Ghost Hunt,TV,Novel,25,Finished Airing
Accel World,Accel World,TV,Light novel,24,Finished Airing
Bakuman.,Bakuman.,TV,Manga,25,Finished Airing
Nodame Cantabile,Nodame Cantabile,TV,Manga,23,Finished Airing
Kamisama Hajimemashita,Kamisama Kiss,TV,Manga,13,Finished Airing
Cardcaptor Sakura,Cardcaptor Sakura,TV,Manga,70,Finished Airing
Daa! Daa! Daa!,,TV,Manga,78,Finished Airing
Kimi ni Todoke 2nd Season,Kimi ni Todoke: From Me To You 2,TV,Manga,12,Finished Airing
Sekaiichi Hatsukoi,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love,TV,Manga,12,Finished Airing
Code-E,,TV,Original,12,Finished Airing
Junjou Romantica,Junjo Romantica,TV,Manga,12,Finished Airing
Kiniro no Corda: Primo Passo,La corda d&#039;oro: primo passo,TV,Visual novel,25,Finished Airing
D.Gray-man Hallow,D.Gray-man HALLOW,TV,Manga,13,Finished Airing
Sengoku☆Paradise Kiwami,,TV,Unknown,26,Finished Airing
Peace Maker Kurogane Movie 1: Omou Michi,,Movie,Manga,1,Not yet aired
Boku wa Kuma,,Music,Original,1,Finished Airing
Ane Koi: Suki Kirai Daisuki.,,OVA,Manga,2,Finished Airing
Parasol Henbei,,TV,Unknown,200,Finished Airing
Ginga Hyouryuu Vifam: Kieta 12-nin,,OVA,Unknown,1,Finished Airing
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,,OVA,Original,1,Finished Airing
Chuuhai Lemon: Love 30s - Ame ni Nurete mo,,OVA,Unknown,1,Finished Airing
Juuni Kokuki,The Twelve Kingdoms,TV,Novel,45,Finished Airing
Diabolik Lovers OVA,,OVA,Visual novel,1,Finished Airing
Ko Ko Ro,,OVA,Unknown,2,Finished Airing
Tuzki: Love Assassin,,ONA,Unknown,1,Finished Airing
Lupin III: Lupin Ikka Seizoroi,,Special,Unknown,1,Finished Airing
Neko Konogoro,,TV,Manga,0,Currently Airing
Ao no 6-gou,Blue Submarine No. 6,OVA,Manga,4,Finished Airing
Ben-To Picture Drama,,Special,Light novel,6,Finished Airing
Gasshin Sentai Mechander Robo,Combining Squadron Mechander Robo,TV,Unknown,35,Finished Airing
Seikai no Monshou Special,,Special,Light novel,1,Finished Airing
